bridge_id,sb_match_id,competition_label,kickoff_date,norm_home,norm_away,regulation_result,old_cache_root,local_file_status,local_sha256,lake_status,lake_sha256,retrieval_decision,reason
425bbddb81ab0ac2,7525,FIFA World Cup 2018,2018-06-14,russia,saudi arabia,home,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,bc04e7442328cc43d52e3e2e549d926b366f40ec0a443fa99e4d58210e8484e5,present,bc04e7442328cc43d52e3e2e549d926b366f40ec0a443fa99e4d58210e8484e5,copy_verified_local,already in lake (hash-verified)
fdf321435822c18c,7529,FIFA World Cup 2018,2018-06-16,croatia,nigeria,home,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,20e43592bb389db6689447595d5f0dd82abf7c11189e70b68c3a3587d74bc214,present,20e43592bb389db6689447595d5f0dd82abf7c11189e70b68c3a3587d74bc214,copy_verified_local,already in lake (hash-verified)
f2e922ec67e64d0e,7530,FIFA World Cup 2018,2018-06-16,france,australia,home,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,0e4a1f824d3539b210ba58de4bc4d6cb9f34466b4a7059df0d2b5bfe0a7a3370,present,0e4a1f824d3539b210ba58de4bc4d6cb9f34466b4a7059df0d2b5bfe0a7a3370,copy_verified_local,already in lake (hash-verified)
7634c38e509a7aa4,7531,FIFA World Cup 2018,2018-06-16,argentina,iceland,draw,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,4fb8cc5585b17b8cdadad272697eb66029554b230fcc743aec9276a23093857a,present,4fb8cc5585b17b8cdadad272697eb66029554b230fcc743aec9276a23093857a,copy_verified_local,already in lake (hash-verified)
b51a6bdbbf6454a2,7532,FIFA World Cup 2018,2018-06-16,peru,denmark,away,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,963b9082b9e84915f4414e201db60293ea321dff575c5d3a6cf91f7487fca9bb,present,963b9082b9e84915f4414e201db60293ea321dff575c5d3a6cf91f7487fca9bb,copy_verified_local,already in lake (hash-verified)
a34feb385ff3abe9,7533,FIFA World Cup 2018,2018-06-17,brazil,switzerland,draw,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,c3f4468ddeb33d0d6322a55eb0dbbf570782afb8cc044eab12c03fc004ee2832,present,c3f4468ddeb33d0d6322a55eb0dbbf570782afb8cc044eab12c03fc004ee2832,copy_verified_local,already in lake (hash-verified)
add53dc4ba98ae88,7534,FIFA World Cup 2018,2018-06-17,germany,mexico,away,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,1b6b98fd6627e42174cc09416a131ef5d2f04951e43c9dcb6125b8c24b2b9eb2,present,1b6b98fd6627e42174cc09416a131ef5d2f04951e43c9dcb6125b8c24b2b9eb2,copy_verified_local,already in lake (hash-verified)
39a73bed08f0bd77,7535,FIFA World Cup 2018,2018-06-17,costa rica,serbia,away,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,87e35700fdbb24b63577fa2ca6090ea672b49be0531bfe030c67d77c420371b7,present,87e35700fdbb24b63577fa2ca6090ea672b49be0531bfe030c67d77c420371b7,copy_verified_local,already in lake (hash-verified)
f617a74e2105acc4,7536,FIFA World Cup 2018,2018-06-18,belgium,panama,home,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,656ad5f1b82b6b879d070eae5e65f7a0835a8c90959f1c05b51d9ebc8a669558,present,656ad5f1b82b6b879d070eae5e65f7a0835a8c90959f1c05b51d9ebc8a669558,copy_verified_local,already in lake (hash-verified)
db35331e117461e5,7537,FIFA World Cup 2018,2018-06-18,tunisia,england,away,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,5e5b1f702eb190bd3120ebc26c8ce98c554bb755cd593ff04443fc46eb33acbf,present,5e5b1f702eb190bd3120ebc26c8ce98c554bb755cd593ff04443fc46eb33acbf,copy_verified_local,already in lake (hash-verified)
b2d4706294562d1d,7538,FIFA World Cup 2018,2018-06-18,sweden,south korea,home,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,ac684143ef2c246c1745a078d03e0c7ab31b96a7ea3863e42ea539b7c6d3383e,present,ac684143ef2c246c1745a078d03e0c7ab31b96a7ea3863e42ea539b7c6d3383e,copy_verified_local,already in lake (hash-verified)
83021863c2dd398e,7539,FIFA World Cup 2018,2018-06-19,poland,senegal,away,C:\Users\Mahyar\worldcup-player-impact-xg\data\raw\statsbomb_open\events,valid,ee7b02c0f464cbe4b525c974aadb086f3d3ceebbb96093e958c62613938b8d53,present,ee7b02c0f464cbe4b525c974aadb086f3d3ceebbb96093e958c62613938b8d53,copy_verified_local,already in lake (hash-verified)
6e07b9c74f56f29b,7540,FIFA World Cup 2018,2018-06-19,russia,egypt,home,,absent,,present,f2bbcf6157a2f537c09f0423aa40940ec0ffcfa9f036c4b22ebd1eced8f0a1ab,copy_verified_local,already in lake (hash-verified)
c5c9e3e18f7059c4,7541,FIFA World Cup 2018,2018-06-19,colombia,japan,away,,absent,,present,ed25888e92193f0394e121a9101c4d3a7607a225b4c7416c9b13a647b54b9584,copy_verified_local,already in lake (hash-verified)
420895e961137fae,7542,FIFA World Cup 2018,2018-06-20,portugal,morocco,home,,absent,,present,bf413501a7245ad9f69dbfc51b038b92457345a47f363d594887d6987ccf5e90,copy_verified_local,already in lake (hash-verified)
8977cdf712634365,7543,FIFA World Cup 2018,2018-06-20,iran,spain,away,,absent,,present,a71116f175234e1696cf28cc5e5123eceae8f224ae837226c01b785d552059e0,copy_verified_local,already in lake (hash-verified)
